Workbook_ID,Template_Path,Expected_SHA256,Variant,Variant_SHA256,Matches_Expected,Byte_Length
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-lf-bom-one-final-newline,a3208e367c2f2bc2a482e8ac8ca0cfce43bc51fe1ebb56bec990c763cfc74e3c,False,7497
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-crlf-bom-no-final-newline,92ac38de3857e0cb6ecf1aa243457679a3e907295d2a178732de6b8b8399b5d0,False,7662
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-crlf-bom-one-final-newline,b75f01094517b705866bf73056ef596cdddc0543beade85e381d65a2de839c16,False,7664
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf16le-lf-bom-no-final-newline,86bd9a0769619f22405113f15eb2e6da322554c691e5d39527a2dc814bfd7a2b,False,14988
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf16le-lf-bom-one-final-newline,d64d737bc1b9de237dc71fbc1e34a871708e32232fa3a9252dbd5a93ebdd865e,False,14990
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf16le-crlf-bom-one-final-newline,831b539b3b0c8f659bf623c63e986cda5301a16fe01a97db85ebc030dfd7f9b2,False,15324
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf16be-lf-bom-one-final-newline,3bf1df31ea065ec13662aa382bf5de6bbab7a3b50f245198345fce50f20b9778,False,14990
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,current-repository-bytes,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,True,14146
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-lf-no-bom-no-final-newline,e5bea298de32a8e2d9fdc444c128524b0fcb957fbe5af8a7b0a123aef54efc14,False,14145
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-lf-no-bom-one-final-newline,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,True,14146
